supplier_code,name,contact_person,contact_number,email,address,tin,telefax,payment_terms,status
00000273,MGRJ GENERAL MERCHANDISE,,,,,,,,Active
00000274,TIMES TRADING CO,,,,,,,,Active
00000276,KARWILL PARTS SUPPLY CORPORATION(ARIES),CHIT,7320235/7325503,,"#599 G. ARANETA AVE., DOÑA IMELDA, Q.C",007-422-977,,,Active
00000277,SHIEY JONG ENTERPRISE CO.,,,,"NO.50, LANE148,LI-DE ST., CHUNG-HO TAIWA",,,,Active
00000278,VSS RUBBER TIME IND. CO.,,,,"NO.33,LN.225,XIFU RD.,WURI DIST.,TAIWAN",,,,Active
00000279,BOYET'S AUTO CARE SERVICES &,,,,TIRE SUPPLY,,,,Active
00000001,PALARIS INDUSTRIAL GAS CORPORATION,,,,SAN ANTONIO SAN PASCUAL BATANGAS,006-324-918,,,Active
00000002,NEW TAS AUTO SUPPLY ( BSB JUNROSE ),,254-1938,,"1508 ANTIPOLO ST., SANTA CRUZ MANILA",000-335-811,8732-5306,,Active
00000003,1-C.T.I. TRAFFIC INDUSTRIES,ANGELA CHIANG,886-6-6991235,,"10 SHIH CHIEN STREET KUAN TIEN INDUSTRIAL PARK, TAINAN CITY 720 , TAIWAN (R.O.C)",,06-6991271,,Active
00000004,1-ANCHOYA CORPORATION,Mr. JAYSON YEH,+886-2-22260990,,"13F - 5 , NO. 1211, ZHONGZHENG RD., ZHONGHE DIST., NEW TAIPEI CITY,  TAIWAN",,+886-2-22260930,,Active
00000280,JOVANISAN MKTG,MS KATHY,7331904,,T ALONZO STA CRUZ MANILA,,,,Active
00000281,JV GAS TRADING,,,,DONA SOLEDAD BETTER LIVING SUBD DON BOSCO PARANAQUE CITY,171-099-669,,,Active
00000282,"SJ GAS AND APPLIANCE CENTER, INC",,,,DR A SANTOS AVE SAN DIONISIO SUCAT PARANAQUE CITY,001-859-679,,,Active
00000283,SUCAT DIAMOND INDUSTRIAL SUPPLY,,,,DR A SANTOS AVE CLARMEN VILL SAN ISIDRO PARANAQUE,202-187-468,,,Active
00000284,JOVANISAN,,,,,,,,Active
00000285,MARC ALAIN GENERAL MERCHANDISING,,,,,104-035-406,,,Active
00000286,MANPOWER,,,,,,,,Active
00000287,FRDMAZ1 AUTO PARTS,,478-5105,,"9 PRESIDENT AVE. BRGY. BF HOMES, P'QUE CITY     BDO004120144537",,,,Active
00000288,ABU ARRABON,,,,,,,,Active
00000289,ARANZAZU ENTERPRISES ( SAN MATEO ),,912-5142,,"948 AURORA BLVD., CUBAO, QUEZON CITY",104-024-679,912-9355,,Active
00000290,A.A.G MOTOR ENTERPRISES,,,,"23-A MAXIMO VIOLA ST., BALINGASA, QUEZON CITY",,,,Active
00000291,GLOBETROTTERS INC,HELENA TY,526-4143,,,,,,Active
00000292,DAVAO ECONOMY AUTO PARTS CENTER INC,,,,VILLA ABRILLE ST DAVAO CITY,,,,Active
00000293,RBS BUSINESS SERVICES ( IMELDA A. BONIFACIO ),,,,,,,,Active
00000294,"XXXS.T. RUBBER FACTORY CO.,",,,,"42/1 MOO 1, SOI RONG MUNK, PUTTAMONTON SAI 4, KATUMLOM, SAMPRAN, NAKHON, PRATHOM 73220, THAILAND",,,,Active
00000295,CHUN MUK SCREW CENTER,,,,T MAPUA ST STA CRUZ MANILA,905-635-497,,,Active
00000296,VALZEN GENERAL MERCHANDISE & SERVICE CENTER,,,,CLARMEN VILLAGE SUCAT PARANAQUE,202-543-164,,,Active
00000297,FREIGHT JOSEPH V. REJUSO,,,,UNION BANK 014020009317,,,,Active
00000298,LINSCUA / OASIS ( FOR INVOICE ISSUANCE),014020009317 UNION BANK JOSEPH REJUSO,,,014020009317  UNION BANK JOSEPH REJUSO,,,,Active
00000299,SECURITY WAREHOUSE,,,,,,,,Active
00000300,HOC 88 TRADING,,,,,,,,Active
00000301,LABOR,,,,,,,,Active
00000302,JC CAR SHACK TRADING,,,,DR A SANTOS AVE SUCAT PARANAQU,173-976-272,,,Active
00000303,ED & EV TRADING AUTO SUPPLY,,872-0395,,,,,,Active
00000304,NEW TAS AUTO SUPPLY ( ROTARY ),,,,,,,,Active
00000305,TIRE ASIA GROUP INC,,,,DR A SANTOS AVE SAN ISIDRO PARANAQUE,004-741-308,,,Active
00000306,WIN-FLEX MARKETING & INDUSTRIAL SALES,SONNY S. SOLANO,825-5054,,"8170 DR, A. SANTOS AVE., BRGY, SAN DIONISIO DIST. 1 PARAÑAQUE CITY",,,,Active
00000307,Filton Industries,Mr. S.C. Lee,603-5161-1482,,"lot 9869, 4 miles, jalan sellathevan, kg. jawa, 41000 klang, selangor darul, ehsan, malaysia",,,,Active
00000308,"HMR PHILIPPINES, INC.",,,,"IL-105 G/F SM HYPERMARKET BLDG.,ADRIATICO ST., BRGY. 720, ZONE 078, MALATE, MANILA",,,,Active
00000309,ISUZU MANILA,,,,,,,,Active
00000310,FREIGHT-BRIGHT GOAL TRADING / SILVER PINNACLE/MULTIFRONT MKTG CORP,645-7645023672 METRO,,,AYON BLDG INOCENCIO TRECE MARTIREZ CITY CAVITE,466-529-946,,,Active
00000311,ENKAT TRADING,BDO-005320219211,,,"# 1747 EVANGELISTA ST., BANGKAL MAKATI CITY",,,,Active
00000312,1SANHO INDUSTRY INC. CO.,MR. SIMON,886-3-3411161,,"No.1279, YU-AN ROAD, TAOYUAN CITY, TAIWAN, R.O.C.",,886-3-3411358,,Active
00000313,CSC KORONADAL SURPLUS & A/S,,,,"ROXAS ST., KORONADAL CITY S.COTABATO",,,,Active
00000314,JIGA MAGS AND TIRE SUPPLY,,,,"LOT 1-A NINOY AQUINO AVE., BRGY. SAN DIONISIO PARAÑAQUE CITY",,,,Active
00000315,CITY HALL ,,,,,,,,Active
00000316,SUVIC PAINT CENTER,SHERMIN LYNN C. TAN,826-3268,,"G/F VAJ BLDG., 7604 DR.A.SANTOS AVE., SAN ISIDRO, SUCAT, PARAÑAQUE CITY",234-041-934,,,Active
00000317,PERTUA MARKETING CORPORATION,3958067351,362-1545,,"#75 OLD SAMSON ROAD BALINTAWAK, QUEZON CITY,",,,,Active
00000318,ATLAS AUTO SUPPLY,,BDO-4560021794,,"1017-B BENAVIDEZ ST., BRGY. 294 ZONE 48 DIST III BINONDO MANILA 1006",110-779-526,robert,,Active
00000319,M.R. HYDRAULICS,,,,"8172 DR. A. SANTOS AVE., BRGY. SAN DIONISIO, PARAÑAQUE CITY",,,,Active
00000320,RADIANT ROPE GENERAL MDSE.,,243-1897,,"528 STO. CRISTO ST. BRGY. 281 ZONE 26 TONDO, MANILA",,,,Active
00000321,MITZU MOTOR PARTS ,C/O ATLAS AUTO SUPPLY,,,,,,,Active
00000322,EX-MANILA TRADING,,586-8751 / 63-4739 / 562-1507,,"1852 GEN. LUNA EXT., BRGY. 685 ZONE 74., PACO, MANILA",,,,Active
00000323,FREIGHT-METRO LYNX ENTERPRISE (JOAN VERSOZA LIN),,,,,,,,Active
00000324,TRINITY MARKETING INC,,247-2888,,YUCHENGCO ST BINONDO MANILA,000-327-489,242-8347,,Active
00000325,EURO FIRST,,852-3921,,,,,,Active
00000326,MAYON CONSTRUCTION SUPPLY,,,,,,,,Active
00000327,AUTORAMA PARTS CENTER,,,,,,,,Active
00000328,"CLOVER MOTOR SUPPLY, INC.",,244-8274,,"948 BENVIDEZ ST., BRGY. 295 ZONE 28, BINONDO , MANILA",000-331-741,,,Active
00000329,SEIRING CORPORATION,BDO # 002560204564,716-8407,,"15 G. ARANETA AVENUE, DOÑA IMELDA, QUEZON CITY",003-502-887,716-8408,,Active
00000330,GLOBAL CAR KLINIK AND SERVICE CENTER INC,,,,,,,,Active
00000331,RIGHT CORNER COMMERCIAL,,826-5228,,"8334-F DR.A. SANTOS AVENUE, SUCAT RD., PARAÑAQUE CITY",126-543-141,,,Active
00000332,1DAWOU,,,,,,,,Active
00000333,TGQ,,,,,,,,Active
00000334,xxxx1ANNAxxxxxxxxxx,,,,"NO. 12, DAH YEOU ST., KENGKOU IND. PARK, LUCHU, TAOYUAN, TAIWAN",,,,Active
00000335,"1HYREAL AUTO PARTS CO., ",,+88-2-29832371,,"NO.28, LANE 60,CHUNGYANG RD., SEC.1 SANHUNG, TAIPIE, TAIWAN 241",,+886-2-29832376,,Active
00000336,EXCEL SYSTECH CORPORATION,,800-0594,,REAL ST ALABANG-ZAPOTE ROAD LAS PINAS CITY,213-189-009,8057778,,Active
00000337,"1PROFUSE ELECTRONICS CO., LTD",Ms. Amy,03-955-7777,,TAIWAN,,03-955-3300,,Active
00000338,NAT'S AUTO PARTS & GENERAL MERCHANDISE,,788-2615,,"NO.37 CANAYNAY AVENUE, SAN DIONISIO, PARANAQUE CITY",,,,Active
00000339,PARTSQUARE ENTERPRISES,,"825-2102, 820-0648",,"8168-B DR. A. SANTOS AVENUE, SUCAT ROAD, PARAÑAQUE CITY",,,,Active
00000340,DTI,,,,,,,,Active
00000341,REDIPARTS DIESEL CALIBRATION CENTER,,,,,,,,Active
00000342,MOTOR IMAGE MANILA INC,,,,BLK 2 LOT 39 BRADCO AVE. ASEANA CITY BRGY. BACLARAN  ( BPI 3931-0066-56),,,,Active
00000343,NISSHIMBO PARTS INC.,,,,"1452 SAN MARCELINO ST., BRGY. 676 ZONE 073 ERMITA MANILA",008-509-642,,,Active
00000344,TRAMEC SLOAN,BRO0K HESSEY,800-336-7778,,30 DAVIS ST LOLA KANSAS 66749,,,,Active
00000345,WYL  MOTOR SUPPLY,,,,,103-989-884,,,Active
00000346,RIDE INC,,7327070,,BANAWE ST QUEZON CITY,004-708-330,7329136,,Active
00000347,VERIMAX INCORPORATED,,,,JUAN LUNA ST BINONDO MANILA,008-172-582,,,Active
00000348,E.T,,,,,,,,Active
00000349,JONEL MARKETING8212 DR. A SANTOS AVE. SAN ISIDRO PQUE CITY,,,,,251-333-847,,,Active
00000350,COURIER,,,,,,,,Active
00000351,OFFICE SUPPLIES,,,,,,,,Active
00000352,REDIPARTS DIESEL CALIBRATION CENTER,,524-5224,,1724 B TAFT AVENUE PASAY CITY,,,,Active
00000353,MANILA UNITED ELECTRICAL SUPPLY INC,,,,RONQUILLO ST STA CRUZ MANILA,000-330-410,,,Active
00000354,DNC MOTORCYCLE CENTER,,,,10TH AVE COR RIZAL AVE CALOOCAN CITY,121-520-212,,,Active
00000355,ABU ARRABON ENTERPRISE,,,,,,,,Active
00000356,JAG,,,,,,,,Active
00000357,TO SUY SCREW HARDWARE,,,,,103-905-204,,,Active
00000358,G-POWER AUTO PARTS TRADING,,731-3816,,"# 45 KALIRAYA ST., BRGY. TATALON, QUEZON CITY",917-867-835,998-4596,,Active
00000359,RODGE TIREBATZ TRADING,,,,SAMPALOC MANILA,,,,Active
00000360,WHOLE WEALTH MARKETING,,,,,,,,Active
00000361,MOTO ROAD TRADING,,,,,,,,Active
00000362,FAMS DIESEL PARTS,,,,685 A. BONIFACIO AVE. BALINTAWAK QUEZON CITY,,,,Active
00000363,ASIAN DYNASTY IMPORT-EXPORT CORP,,,,,,,,Active
00000364,MTR CANVAS SUPPLY,,,,SOLER ST BINONDO MANILA,108-971-258,,,Active
00000365,ILOILO AUTO SUPPLY,,,,,,,,Active
00000366,SILICON VALLEY,,,,,240-717-734,,,Active
00000367,YOUNG ADVANCE IRON CORP BDO ACCT.004390000805,,5239655,,30 KALAKAL ST SRV DISTRICT 1 NAVOTAS STAINLESS GATE KATABI NG #32 NA GREEN NA GATE SA LIKOD NG HIGH SCHOOL,004-711-609,ann8-523-9659,,Active
00000368,( CONSIGNMENT ) MAXTRO ,,,,,,,,Active
00000369,"NEW TAS AUTO SUPPLY / (ROS AUTOHUB, INC)",,8-361-8630/8-364-0556,,10TH AVE CALOOCAN CITY,,,,Active
00000370,BASIC - SAFEKEEPING,,,,,,,,Active
00000371,TAS- SAFEKEEPING,,,,,,,,Active
00000372,WC-SAFEKEEPING,,,,,,,,Active
00000373,MOSSUTO,,,,,,,,Active
00000374,TOYORAMA MOTOR CORP.,,731-9999,,28 BANAWE ST. DOÑA JOSEFA 4 QUEZON CITY,000-388-579,,,Active
00000375, ( CONSIGNMENT) BESTAT AUTOPHIL CORPORATION,,,,,,,,Active
00000376,SYLTECH MOTOR PARTS & CAR ACCESSORIES,ALEX SY,743-0136,,34-E BANAWE ST. CORNER MARIANO CUENCO QC,,,,Active
00000377,MOBILEWORLD,,,,,,,,Active
00000378,TONGSON AUTOMOTIVE SUPPLY,,,,"#1036 Benavidez St., Binondo Manila",,,,Active
00000379," (Monroe Marketing Co., Inc.)",668041493,0925-712-4086 j-tan,,"49 Ragang Street, corner Mauban Street, Barangay Manresa, Quezon City  Look for Mon de Leon",000-668-041,NEW TAS AUTO SUPPLY /,,Active
00000380,"( DO NOT USE )Thunder Automotive Parts, Inc.",sir fred / coleman,244-6529,,1026 G. MASANGKAY ST. BRGY. 294 ZONE 28 BINONDO MANILA,201-395-201,,,Active
00000381,TOLL FEE,,,,,,,,Active
00000382,WINTER ENTERPRISES,,243-1506,,"1164 SOLER ST., BINONDO, MANILA ",,00-11-700-74-918,,Active
00000383,ROADSTAR AUTO SUPPLY,,,,,,,,Active
00000384,sample,,,,,,,,Active
00000385,CHAMBER AUTO CENTRUM INC.,,,,SAN DIONISIO PQUE CITY,,,,Active
00000386,"1S.T. RUBBER FACTORY CO.,LTD",MS. YONG,,,THAILAND,,,,Active
00000387,1MOSSUTO,WEI-LIANG  CHEN,,,TAIWAN,,,,Active
00000388,ARCENAL MACHINE ENGRAVERS & TOOLING SERVICES,,,,"8373 DR.A. SANTOS AVE., BRGY. BF HOMES, PARAÑAQUE CITY",,,,Active
00000389,SALARY AND OTHER EXPENSES,,,,,,,,Active
00000390,FRANCIS,,,,,,,,Active
00000391,1SHIEY JOUNG ENTERPRISE,JASON WU,886-2-2223-3755,,TAIWAN,,,,Active
00000392,1SEAL AFTERMARKET PRODUCTS,,,,USA,,,,Active
00000393,BOBBY - CITYHALL,,,,,,,,Active
00000394,WIN WIN DOC SERVICES,,,,,,,,Active
00000395,1 EDEN KUO,,,,TAIWAN,,,,Active
00000396,BPI / MS INSURANCE CORPORATION,,,,,,,,Active
00000397,1FILTON INDUSTRIES,,,,TAIWAN,,,,Active
00000398,AIDAN MARKETING,,,,CEBU CITY,,,,Active
00000399,R.M MACHINE SHOP,,801-4163,,"B23 L9 MARCOS ALVAREZ ROAD, TALON 5, LAS PIÑAS CITY",,,,Active
00000400,WHEELS  INC (mitsubushi) 003660103688,,8-370-4914,,,,721-1607,,Active
00000401,RESTORE INC,JIM DEORBORN,,,jdearborn@restoreauto.com,,,,Active
00000403,TESGENE MANUFACTURING,,,,,,,,Active
00000404,JSR ENTERPRISES,julius 0917-793-6845,8-367-5934/8-463-3120,," #8, warehouse B6, maysan road, valenzuela. land mark hi top truck scale",,8-555-0008,,Active
00000405,CANCEL,,,,,,,,Active
00000408,K-SEAL INTERNATIONAL,DAMIAN WARREN,,,75 N. MAIN STREET MEDFORD NEW JERSEY 08055 USA,,,,Active
00000409,FM LUCAS AUTOMATIC TRANSMISSION SPEALIST,,,,BICUTAN TAGUIG CITY,,,,Active
00000410,ROTA-COOL REF& AIR CONTIONING SUPPLIES,,,,SAN ISIDRO PQUE CITY,,,,Active
00000411,"OLYMPIA AUTO SUPPLY, INC.",,176-1386,,QUEZON CITY,,,,Active
00000412,IGAN TRADING,,,,,,,,Active
00000413,YONGXIN HARDWARE,,,,,,,,Active
00000414,D S R B,,,,,,,,Active
00000415,AERODYNAMICS COMMERCIAL CORP,,2447747/29/22,,MASANGKAY ST BINONDO MANILA,,,,Active
00000416,HI-PRECISION DIAGNOSTICS,,,,,,,,Active
00000417,ROKS ELECTRONICS CENTER,,7330131,,"558 G. PUYAT ST., BRGY. 303 ZONE 29 DISTRICT 3, STA. CRUZ, MANILA",103-946-422,7343598,,Active
00000418,ISLAND MOTORISTS CENTER,,,,PQUE CITY,,,,Active
00000419,JVS PAINT CENTER,,,,PQUE CITY,,,,Active
00000420,"1NINGBO BRAVAN MACHINERY CO.,LTD",,,,,,,,Active
00000421,UNIVERSAL TPK CHEMICAL LTD. CO,,,,CAVITE,,,,Active
00000422,FUJI INVENTORY,,,,,,,,Active
00000423,ALL-FLEX MARKETING AND INDUSTRIAL SALES,,049-544-0866,,"698 NAATIONAL HIGHWAY CANLALAY, BINAN, LAGUNA",,,,Active
00000424,EDASCO AUTO SUPPLY,,,,"1712 EVANGELISTA COR. GEN. LACUNA STS., BANGKAL, MAKATI CITY",,,,Active
00000425,JAY-M TIRE SUPPLY,,829-4233,,"8218 DR.A SANTOS AVE., BRGY SAN ISIDRO SUCAT, PARAÑAQUE CITY",237-803-976,,,Active
00000426,SKY AUTO PARTS,,741-1421 * 740-3228 / 3231,,"395 BANAWE ST., PROSPERITY BUILDING 4TH FLOOR., QUEZON CITY",,416-6662,,Active
00000427,ELBYNART CORPORATION ( RAM COMMERCIAL ) / RUBPERT,FORMER RAM ( RUPERT),,,861 G tolentino street zone 041 brgy 396 SAMPALOC MANILA,,,,Active
00000428,A-5 ENTERPRISES INCORPORATED,,+63 (2) 8 366 4581,,GOV PASCUAL ST MALABON,005-367-720, +63 (2) 8 294 7409 /  +63 (2) 8 294 7410,,Active
00000429, TEN PLUS AUTO SUPPLY,,,,QC,,,,Active
00000430,BDM MACHINE SHOP,,,,PANDACAN MANILA,,,,Active
00000431,I AUTO INC.,,,,TONDO MANILA,,,,Active
00000432,1OSHIKAWA,,,,THAILAND,,,,Active
00000433,WHEELS INC. ( HYUNDAI E. RODRIGUEZ),,,,,,,,Active
00000434,DEL AIR,,,,,,,,Active
00000435,COIL MASTER ENTERPRISES,HYDIE,724-2247/09228657792,,#1 seattle st.cor.n domingo bry. kaunlaran qc,,,,Active
00000436,HOPE ADHESSIVE,MA'AM JEAN,365-8886,,17C CORDERO ST. BETWEEN 2nd & 3rd AVE. GRACE PARK CALOOCAN CITY,,,,Active
00000437,ACHIEVERS SALES CORPORATION,,,,BONI AVE PLAIN VIEW MANDALUYONG CITY,000-050-180,,,Active
00000438,TORNG DAH COMMUNICATION INDUSTRIAL CO. LTD,,,,"6F., NO.99 SEC.1 ZHONG CHENG RD., SHIH-LIN DIAT., TAIPEI CITY 111, TAIWAN, R.O.C.",,,,Active
00000005,NEW TAS AUTO SUPPLY ( NORMAN ),,,,,,,,Active
00000439,arya ent. flying v gas station,,,,,,,,Active
00000440,DELA CRUZ CAR AIRCON & ELEC. SHOP,,,,,,,,Active
00000441,DAN BROS,,,,,,,,Active
00000442,YIE KUANG,,,,,,,,Active
00000443,DARLIE GOZALEZ ELEC. REPAIR,,,,,,,,Active
00000445,MIT-TOYO PARTS CENTER INC.,,740-9645/743-7642/416-7718,,"# 40 BANAWE CORNER KITANLAD ST.,TATALON QUEZON CITY",,,,Active
00000446,ELECTROBEST SALES CENTER,,,,,,,,Active
00000447,RODEL,,,,,,,,Active
00000448,A.M. CYCLE PARTS ENTERPRISES,,,,LUZON ST TONDO MANILAS,173-781-462,,,Active
00000449,COMMISSION - SALESMAN,,,,,,,,Active
00000450,CASH,,,,,,,,Active
00000451,ANDREA SANTOS,,,,,,,,Active
00000452,LBC,,,,,,,,Active
00000453,BNT AUTO PARTS PHILIPPINES,,,,,,,,Active
00000454,"SEALING TECPRO INTERNATIONAL CO., LTD.",MR. ALBERT WU,02-2278-2915,,"6F. -4,No.18, Ln.609, SEC.5, CHONGXIN RD., SANCHONG DIST., NEW TAIPEI CITY 241, TAIWAN R.O.C. ",,02-2278-2913,,Active
00000455,JRS,JESZELLE,(02) 8820-6443/8551-3707,," Address: 8260 Dr. A. Santos Avenue San Isidro, Sucat Paranaque City Metro Manila",,0943-7089058 / 0943-7089077,,Active
00000456,WARREN YU,,,,,,,,Active
00000457,ENRIQUEZ IMPORT-EXPORT,,782-4712,,490 G ARANETA ,008-921-518,,,Active
00000458,HAMCO STATIONERY CORP,MYRA,241-0026 2446622,,480 YUCHENGCO ST,004-728-860,,,Active
00000459,GUANGDONG FARET AUTO RADIATOR ,MR. JHAMES ZHONG,+86 20-39991826-804,,"NORTH No.1 SECOND ROAD NAN SHUANGYU INDUSTRIAL ZONE   WEST YU SHAN ROAD PANYU DISTRICT, GUANGZHOU CITY, CHINA",,+86 20-39991896,,Active
00000460,GLEAMIST JR. PAINT CENTER,,,,,,,,Active
00000461,MARICEL STORE,,,,,,,,Active
00000462,5-E MACHINE SHOP,,,,,,,,Active
00000463,R-9-AUTO SERVICE,,,,,,,,Active
00000464,"GYRO FUZION ENTERPRISES CO., INC ",,,,UNIT J NO. 69 N. ROXAS ST. BRGY QUEZON CITY,,,,Active
00000465,YUNG CHEN WU INDUSTRIAL CO. LTD,MAUSUNG WU,935786395,,"NO. 121-6, SEC.2, JHONGSHAN RD. SHULIN DIST., NEW TAIPEI CITY 238 TAIWAN",,,,Active
00000466,BILSTEIN PHILIPPINES,SIR. HORGE,721-0368/77 - 09189335576,,"465 Lt. Artiaga Street, Bgy Corazon de Jesus, 1555 San Juan, Philippines",,,,Active
00000467,VOLMAX MARKETING,CHARLIE YANG,244-8375 244-8031,,,120-318-098,,,Active
00000468,AUTO EMPIRE GESELLSCHAFT INC,CARLO BENITEZ CARLOMATEOBENITEZ@YAHOO.COM,049-9869014,,"KM 49 STA. ROSA TAGAYTAY ROAD, BRGY. PULONG STA CRUZ STA. ROSA CITY LAGUNA ACCT 003530177169",,049-502-5181,,Active
00000469,JERRY ELEC. SHOP,,,,,,,,Active
00000471,SHELTON PHILIPPINES AUTO PARTS,,,,,,,,Active
00000473,WINTERPINE,,,,,,,,Active
00000474,INFINITE INTEGRATION & CONSULTING CORP,,,,,,,,Active
00000475,LTO,,,,,,,,Active
00000476,MAUSUNG,,,,,,,,Active
00000477,"HIGH LINK AUTO PARTS CO., LTD",,,,TAIWAN,,,,Active
00000478,JUMICAR AUTO PARTS SUPLLY,,,,,,,,Active
00000479,SHELTON PHILIPPINES AUTOPARTS,,,,ILOILO CITY,102-268-574,,,Active
00000480,INVENTORY,,,,,,,,Active
00000481,BRAKE PADS,,,,,,,,Active
00000482,CCTV KING,,,,121 QUEZON AVE QUEZON CITY,008-002-359,,,Active
00000483,VALVE COVER WASHER,,,,,,,,Active
00000484,EXHAUST PIPE GASKET,,,,,,,,Active
00000485,INV.OIL COOLER GASKET,,,,,,,,Active
00000486,CHEVROLET MANILA,,,,,,,,Active
00000487,LHC-INVENTORY,,,,,,,,Active
00000488,LIGHTNING AUTOMOTIVE,,,,,,,,Active
00000489,ERCL ENTERPRISES,SIR ERIC,230-3122,,"# 669D MANGGA AVE., SAMPALOC MANILA",,501-1521,,Active
00000490,PETTY CASH,,,,,,,,Active
00000491,HARROWS INDUSTRIAL SALES,MAM CAMILLE,,,"ASCD IND'L AVE., EXT. COR. 9TH AVE CALOOCAN CITY",,,,Active
00000492,GREAT POWER ENTERPRISES,,,,,,,,Active
00000493,SCHWINGER ENTERPRISE,,(65) 654523235,,143 RIVERVALE DRIVE #07-549 SINGAPORE 540143,,,,Active
00000494,BANK CHARGES,,,,,,,,Active
00000495,WILCON DEPOT INC,,,,,,,,Active
00000496,SUNHUAT AUITOMOTIVE INTERMARKET PARTS CORP,,,,,,,,Active
00000497,"EVERGREEN AUTOMOTIVE PARTS MANUFACTURING,CORP.",,365-6352 to 53/364-5308,,"LAWANG BATO INDUSTRIAL COMPOUND,LAWANG BATO,VALENZUELA CITY",,364-9695,,Active
00000498,HYUKIZU PARTS CENTER (HYUNDAI/SUZUKI),,,,57 BANAWE,,,,Active
00000499,AUTANA TRADING,,,,,,,,Active
00000500,VGT KOREAN AUTO PARTS,,567-9966/554-0047,,182 BANAWE ST. BRGY TATALON QUEZON CITY,,,,Active
00000501,ROBERT ANDRES,,,,,,,,Active
00000503,NISSAN COMMONWEALTH INC.,,932-0428(356),,#41 COMMONWEALTH AVE. BRGY HOLY SPIRIT QUEZON CITY,,,,Active
00000504,CAR,,,,,,,,Active
00000505,JJLC TECHIE HUB ( AMARON PITSTOP ),,0906-481-8482/0908-1891111,,"ALL SPARK BATTERY STATION AND GEN MDSE  8185 BLUE GRANT BLDG DR A SANTOS AVE., SAN ISIDRO , SUCAT ",,,,Active
00000506,ESHIP BPO CORP,ARNEL ( FOREX ),,,,,,,Active
00000507,ALL SPARK BATTERY STATION & GEN MDSE ( AMARON),,,,,,,,Active
00000508,MAANES RELIABLE DIESEL CALIBRATION CO,,5245224,,1712 TAFT AVE PASAY CITY,009-290-312,,,Active
00000509,UNISON MOTOR CORPORATION,,,,1972 TAFT AVE PASAY CITY,000-304-099,,,Active
00000510,TOPPHAND-WELDING,,,,,,,,Active
00000511,TREBLINK COMPUTER SOLUTION,,,,,,,,Active
00000512,AUTOSPECS MOTOR SALES,SIR CORD,732-3835,,"# 37H BANAWE ST., CORNER DAPITAN QUEZON CITY",103-988-784,,,Active
00000513,BENISON CORPORATION,,,,,,,,Active
00000514,CRISOTO TAN,,,,,,,,Active
00000515,NEXGEN SIGNS,,8289187,,8284 DR A SANTOS AVE,,,,Active
00000516,MOTORCYCLE,,,,,,,,Active
00000517,ISUZU ELF,,,,,,,,Active
00000518,STAREX,,,,,,,,Active
00000519,HESLER JAPAN TRADING,"WIPER BLADE, CABLES, PISTON RING RIK",7402442,,21 ATOK ST BRGY STO DOMINGO Q.C.,,DAYA,,Active
00000521,WESTAR PLASTIC MANUFACTURING CORP ,,KENHON,,,,,,Active
00000522,as,,,,,,,,Active
00000523,"LIM YEE WAN CO., INC",,,,,,,,Active
00000524,TRIUMPH JT MARKETING CORP.,,361-4898/365-4854,,# 311 RIZAL AVE. EXT. BET 8TH & 9TH GRACE PARK CALOOCAN CITY,,,,Active
00000525,PLATINUM,RICA ROSARIO ONG,,,,,,,Active
00000526,MAZFORD PARTS CENTER INC,,732-0395 / 740-7671 / 749-4960,,69 BANAWE QC  ( BDO ACCOUNT# 001378015826),,414-6282,,Active
00000527,ARIEL O.DUMAJEL,,,,MIBANG STA.FILOMINA DIPOLOG CITY,,,,Active
00000528,SING MERCHANDISING CORPORATION,WILLIAM SING 0917-8992991/0918-8889888,2448122/8481/8501,,908-910 BENAVIDEZ ST BINONDO MANILA,,2477872,,Active
00000529,ZEON PLUS MARKETING ( MASSIVE ),,,,,,,,Active
00000530,CAR MAINTENANCE,,,,,,,,Active
00000531,MANILA RUBBER CORPORATION,manilarubber@yahoo.com,9831331-32,,50 JO RAMOY RD BO TALIPAPA CALOOCAN,000-295-662,9831190,,Active
00000532,KEYLARGO CAR ACCESSORIES CENTER (KPI MANUFACTURING INC.),"SGS FOUNDATION BLDG, G. ARANETA, QUEZON CITY",990-0769/9178357035,,1077-I GENESIS ST CIELITO ZABARTE ROAD CAMARIN CALOOCAN CITY,,990-2011 rossete,,Active
00000534,HINO PARANAQUE METRO MANILA,,8200193 TO94,,4996 NINOY AQUINO AVE,007-330-309,,,Active
00000535,RMJBC,,7331501/1517/0461,,557 GONZALO PUYAT ST STACRUZ MANIL,007-970-010,313-8206,,Active
00000536,NEW TAS AUTO SUPPLY ( BLAZER),,,,,,,,Active
00000537,NEW TAS(PHILIPPINE BELT),,,,280 SIEMKANG BLDG.DASMARIñAS STREET BINONDO MANILA,,,,Active
00000538,1UNICOM,,,,,,,,Active
00000539,SHORT PAYMENT,,,,,,,,Active
00000540,FLANNEL CLOTH,,,,,,,,Active
00000541,COMMUTER AUTOMOTIVE SUPPLY CORP INC,,244-7697,,1017 MASANGKAY ST BINONDO MANILA,,244-7696,,Active
00000542,FREIGHT - COST,,,,,,,,Active
00000543,YEK YEU MERCHANDISING INC,,2423401-07,,491 SAN FERNANDO ST SAN NICHOLANS MANILA,,,,Active
00000544,FREIGHT-PLATINUM TRANSPEED CO LTD,09177777735 RICA ROSARIO ONG,09175127266 EMS,,,,,,Active
