name,contact_number,contact_person,address,tin,customer_type_id,pricing_remarks
ASTRON SALES CENTER,,DJ CARGO,"# 647 CLAUDIO ST., ZAMBOANGA CITY",,1,
WINTERPINE MARKETING,715-6366,,"#118 G. ARANETA AVE., 2ND LEVEL CK BLDG.",,1,
DEBEST,771-2104,,"ALABANG, MUNTINLUPA CITY",,1,
LIWAYWAY MARKETING,,,# 227 FLORENTINO ST. PASAY CITY,,1,
EVOLUTION,716-1248,,"# 361 ARANETA AVE., QUEZON CITY",,1,
IKE AUTO SUPPLY,033-523-9468,,"STA. BARBARA , ILOILO CITY",,1,
AUTOZONE,813-8991,,"2256 CHINO ROCES AVE., MAKATI CITY",,1,
XXXXXXXXXXXXXXXXXXXXXXXXCAR'S GENERAL MERCHANDISE,,,"HINIGARAN, NEGROS OCCIDENTAL",,1,
NEW PIN'S AUTO SUPPLY,034-4349349,SOUTHSEA,BACOLOD CITY,,1,
GOODRICH,716-4831/4833,,"11 A&B G. ARANETA AVE., QUEZON CITY",,1,
KING'S MULTIPARTS XXXXXXXXXXXXX,032-268-8443,,MANDAUE CITY,,1,
HI-TECH MOTOR PARTS,9228700454,,ORMOC CITY,,1,
"ANSON AUTO SERVICE CENTER, INC.",892-2212 / 14,,"A. ARNAIZ AVE., COR. WEST DRIVE, MAKATI",,1,
PAYLESS SERVICE CENTER,376-5772,,LIBIS QUEZON CITY,,1,
GBM SURPLUS CENTER & AUTO PARTS,856-3739/0997-318-5203,,"#246 R. CHAVEZ ST., CAG. DE ORO CITY",,1,
CAR TRUCK PARTS,,,VALENCIA BUKIDNON,,1,
NEGROS AUTOZONE MOTOR INC.,034-4336180,ENRIQUE GO JRS=JELLY GICAR,"LUZURIAGA EXT.,RECLAMATION AREA BACOLOD CITY",416-982-892,1,
DAVAO ESB AUTO SUPPLY,,,DAVAO CITY,,1,
FRONT CENTER,,,LAS PINAS CITY,,1,
EEP AUTO PARTS,(RENAR MKTG. BR,,"GUSA HI-WAY, CAGAYAN DE ORO CITY",,1,
FIVE STAR MOTOR PARTS CENTER,9225147727,,"RIZAL AVE., OZAMIS CITY",,1,
J-LAN  PARTS,063-221-3711,,"CAMAGUE HI-WAY, ILIGAN CITY",,1,
DAISHIN AUTOMOTIVE COMPONENTS INC.,082-305-29700,,STA. ANA DAVAO CITY,,1,
ROBERT'S HARDWARE & A/S,064-288-1648,PAMBATO,KIDAPAWAN CITY,,1,
BERNIE MORILLA,,,C/O YOUNGBROS PARTS CENTER,,1,
REECE AUTO PARTS,,SOUTH SEA,CAGAYAN DE ORO CITY,,1,
ORO SOLID HARDWARE INC.,703-1026/088-85,,CAGAYAN DE ORO CITY,,1,
DAVAO PARTSMAN SALES CORP.,9421230804,JESSA TIN# 005-816-537-000,CHAVEZ ST DAVAO CITY,005-816-537,1,
MONLLER ENTERPRISES,,,,,1,
EUROPA PARTS  & ACC.,9175060066,GEOFFREY ONG,21 ABANAO CORNER SHAGEM ST. BAGUIO CITY,,1,
ANDYSON AUTO SUPPLY,,TOP GUN,DAGUPAN CITY,,1,
VALERIA HP MOTOR PARTS,033-3370316/ (0908-8910745),SEASTAR,"Valeria Extension, Iloilo City Proper, Iloilo City, Iloilo",,1,
ONGKING AUTO SUPPLY,,,BAGUIO CITY,,1,
4G AUTO PARTS,9176564521,SOUTHSEA,"SERVANTES PINILI ST., DUMAGUETE CITY",,1,
PARTNERS AUTO SUPPLY,,,BAGUIO CITY,,1,
PYEZA PARTS DEPOT INC.,,SEASTAR,SUBANGDAKU MANDAUE CITY,,1,
KGB AUTO SUPPLY,LUIGIE,,"TABACO CITY, ALBAY",,1,
BASIC SUSPENSION PARTS ,9258246888,MAM. ALEXIS,CEBU CITY,,1,
ONGSKIE AUTO SUPPLY,054-473-2818,,NAGA CITY,,1,
NEGROS UDC SURPLUS CENTER,034-4321847,SEASTAR,BACOLOD CITY,,1,
SUPER AA AUTOMOTIVE INC.,082-227-8882,accounting@superaa.com 082-321-8888 /082-233-9048,"MONTEVERDE ST., DAVAO CITY",409-175-997,1,
BACOLOD PARTS TRADER,,SEASTAR 50% dodong,"GONZAGA ST., BACOLOD CITY",,1,
LIR AUTO SUPPLY,,,TARLAC CITY,,1,
ADK SALES AND SERVICE,078-844-9328,VICTORY,"131 Balzain Hi-way, TUGUEGARAO CITY",,1,
NEXGEAR AUTO PARTS,9177020021/(082) 221 4440,MANILA OFFICE,"75 B & 77, Carmam Building, Sta. Ana Avenue, Poblacion District, Davao City",,1,
MARK NELSON AUTO SUPPLY,LUIGIE,,TUGUEGARAO CITY,,1,
JESA MOTOR PARTS,,,ILOILO CITY,,1,
(OLD)ZC 3 IN 1 ENTERPRISES,9326744766,POWER EXPRESS,"VETERANS AVE., ZAMBOANGA CITY",,1,
NJF CLUTCH BRAKE & A/S,296-9912,SEASTAR,"#569 BANGKAL, DAVAO CITY",,1,
GALAXY AUTO PARTS CORP.,9228215598,JUVY,"SANTIAGO BLVD., GEN. SANTOS CITY",003-049-384,1,
DYPO AUTO PARTS,9173184668,,BACOLOD CITY,,1,
C.BROS GENUINE AUTO PARTS & ACC.,054-472-08-71,rose,NAGA CITY,,1,
EER AUTO SUPPLY,9224939634,,EER BLDG . ML TAGARAO ST.LUCENA CITY,,1,
JAPI FUEL STATION & CAR CARE,,,"CAUGAYAN CITY ,ISABELA",,1,
L.U.PIONEER,,,"SAN FERNANDO CITY.,LA UNION",,1,
APC CAR CARE CENTER,,NEW SOLID,TUGUEGARAO CITY,,1,
CARCESSORIES ZONE,,,NAGA CITY,,1,
JARMO SALES,,,TUGUEGARAO CITY,,1,
DBO AUTO PARTS,9328855722,,BACOLOD CITY,,1,
DENSO AUTO PARTS,09947997870 (082) 221 4066,227-1911/227-5998/221-4066,"J.P. Laurel Ave, Agdao, Davao City",,1,
DAVAO TOYOZU INC,9239306803,JANE toyozu@yahoo.com 09355211187,"130-A MONTEVERDE , DAVAO CITY, DAVAO DEL SUR",000-075-040,1,
SURALLAH CSC AUTO SUPPLY  BRANCH,238-5060,SEASTAR,"SURALLAH, SOUTH COTABATO",,1,
JEFWEL AUTO SUPPLY AND CAR ACCESSORIES,0918-985-5360,seastar/ 09688613077,"RAMON CHAVEZ ST, CAGAYAN DE ORO CITY",279-666-086,1,
HI-TECH BATTERY & TIRE SUPPLY,9336134550 / 083-552-7447,,SANTIAGO BLVD.GEN. SANTOS CITY,168-437-994,1,
ALBERT REYES,,,"16 MANALO ST., SFDM, QUEZON CITY",,1,
AUTOTRAK AUTO PARTS SUPPLY,,,"552-B M.J. CUENCO AVE., CEBU CITY",,1,
DAVAO IKKIN CAR CARE CENTER,082-221-2981,,"D Suazo, Davao City",,1,
ECOHUB CAR SERVICES AND PARTS CORP. ,9650889783,SEASTAR  GSC ECOPARTS 083-552-0423/0424,ECA BUILDING NATIONAL HIGHWAY CITY HEIGHT 9500 CITY OF GENERAL SANTOS SOUTH COTABATO PHILIPPINES ,000-428-792,1,
SANKING ENTERPRISES,9228607697,SEASTAR,DAVAO CITY,,1,
5 STAR AUTO SUPPLY,,PINES TRUCKING,"URDANETA CITY, PANGASINAN",,1,
TAGUM GOLDEN AUTO SUPPLY,084-218-3789,SEASTAR,"PIONEER AVE., TAGUM CITY (218-4180)",,1,
(OLD)A.M. GOLDEN AUTO PARTS,0917-7034288,PAMBATO,"Cor.J. Aquino & R.Calo st., Butuan Cit y",,1,
TONGSON AUTOMOTIVE SUPPLY,,,"#1036 Benavidez St., Binondo Manila",,1,
CDO MOTOR TRADERS AUTO SUPPLY,9228224913/09177170084,KIMGOLD," Osmeñia Extension, Barangay 26, Cagayan de Oro, 9000 Misamis Oriental",,1,
TM MARANDING AUTO PARTS INC - C,088-852-1481,,GUERRERO BLDG OSMENA STG BRGY 24 9000 CAGAYAN DE ORO CITY MIS OR. PHIL ,683-507-252,1,
YASCO MOTOR PARTS CORP ( MANDAUE CITY ),032-422-9176/77,TEODORO CANONO,"534 North National Highway , North Road Basak, Mandaue City Cebu ,Phil.",004-268-535,1,
ARFLOR MARKETING & A/S,9174633237,SOUTHSEA,DIGOS CITY,,1,
JOCRIS AUTO PARTS,,,"C/O DBO AUTO PARTS, BACOLOD CITY",,1,
HRN AUTO SUPPLY,9228700454,,ILOILO CITY,,1,
AUTOZONE ENTERPRISES,,seasTAr,CAGAYAN DE ORO CITY,,1,
SUMMIT AUTO PARTS,,,"CARMEN, CAGAYAN DE ORO CITY",,1,
IKI AUTO PARTS,,,DIPOLOG CITY,,1,
ELZE A-ONE AUTO SUPPLY,065-2122455,,092 QC AVE.MIPUTAK DIPOLOG CITY,,1,
HARRY'S PERFORMANCE CENTER,,,DAVAO CITY,,1,
GENERICS PARTS SUPPLY,LINO,9331817457,GEN. SANTOS CITY  ,,1,
CEBECO CLUTCH BRAKE PARTS,,,COTABATO CITY,,1,
CPS CLINIQUE ENTERPRISES,082-226-3936,,"JUAN DE LA CRUZ ST., DAVAO CITY",,1,
HOKAIDO AUTO PARTS,,,DUMAGUETE CITY,,1,
JUSTMAT ENTERPRISES,9228700454,,BACOLOD CITY,,1,
MLB AUTO SUPPLY,,,"SAN JOSE GUSU, ZAMBOANGA CITY",,1,
ERM MOTOR PARTS,,,ZAMBOANGA CITY,,1,
JANUS MARKETING,9228657169,,DIPOLOG CITY,,1,
JONGSKIE AUTO PARTS,,,DAVAO CITY,,1,
TASSIE & KATH INT'L SALES,,SEASTAR 50%,"BUHANGIN, DAVAO CITY",,1,
S & M HYDRAULIC & AUTO SUPPLY,09206223251,,DIPOLOG CITY,,1,
XXX*SPARKS AUTO SUPPLY  XXXX,088-852-0337,seastar,RAMONAL CHAVEZ ST.CAGAYAN DE ORO CITY,,1,
TRU-PARTS ENTERPRISE,(088) 856 7688,ORO FRONTIER,"Osmena St, Cagayan de Oro, 9000 Misamis Oriental",,1,
RITZMONCAR AUTO PARTS,9265870240,GUZMAN FREIGHT,#1145 Jake Blvd. ST BARANGAY MALABANIAS Angeles City Pamapanga 2009,,1,
CENTROPARTS AUTO SUPPLY,075-653-0328,,"Nat'l Road, Bari, Mangaldan, Pangasinan",,1,
ORO ISUPARTS AND SURPLUS,0926-702-9825,seastar,OSMENA STREET CAGAYAN DE ORO CITY,937-721-205,1,
STARPARTS DIST.,032-255-7680,9279947109,"393A V,GULLAS ST, CORNER LAPU-LAPU ST. STARPARTS BUILDING CEBU CITY.",,1,
MARIPOSA ENTERPRISES,,,URDANETA CITY,,1,
STREET KINGS AUTO SUPPLY,222-6556,SEASTAR,"STA. ANA AVE., DAVAO CITY",,1,
TIMBERLAND MOTOR PARTS COMPANY,244-1935,8-364-0016,"1019 Benavidez St.,Binondo Mla.",,1,
FJK AUTO SUPPLY & GEN. MDSE.,(083)238-3338,,TACURONG CITY,,1,
ALBERT CAOILE,,,PARANAQUE CITY,,1,
JOEL TAN,# 0922-8371173,,GEN. SANTOS CITY,,1,
02 ZONE C/O AUDRIE LIM,9177180500,,LA SUERTE BLDG BERNAD SUBD.OZAMIS CITY,,1,
Z CARTRUCK PARTS & MARKETING,9264379092 / 088-828-2380,,"DOOR 4 PUROK 2 SAYRE HIWAY, narosa building BARANGGAY POBLACION VALENCIA CITY, BUKIDNON",,1,
BRITTE SEE BRYANT MILLING,09234097817,,CARANGAN OZAMIS CITY,,1,
DLCC AUTO SUPPLY,,,BACOLOD CITY,,1,
JERIC AUTO SUPPLY,225-4683,,"STA. ROSA ST., DUMAGUETE CITY",,1,
STAREX MOTOR PARTS,,SEASTAR,TAGUM CITY,,1,
GSC TSB AUTO SUPPLY CORP.,083-552-2315,TSB_GSC@YAHOO.COM / 50% SALES INVOICE 09277128649,I. SANTIAGO BLVD. DADIANGAS SOUTH GENERAL SANTOS CITY  GSC TSB AUTO SUPPLY CORP.,268-145-079,1,
TAN TONG SING,,PAMBATO,PAGADIAN CITY,,1,
CDO CHAMPION CORP.,9368482414,FORMER CHAMPION CLUTCH LINING,CAGAYAN DE ORO CITY,,1,
(OLD)VICENTE ENTERPRISE-C,,PAMBATO,"156 ALANO ST., PAGADIAN CITY",,1,
NBS TRADING,221-5614,JADES,ILIGAN CITY,,1,
JOWELLE'S AUTO PARTS,,,"CAUAYAN CITY, ISABELA",,1,
CANADIAN  AUTO SUPPLY,9228416787,,"590-E QUIRINO AVE., DAVAO CITY",,1,
ROBBINS AUTO PARTS,088-856-2575,ORO FRONTIER,"OSMEÑA ST., CAGAYAN DE ORO CITY",,1,
AIDAN MARKETING /JOBU TRADING INC.,0917-625-3360,032-346-8109,7A MAYON ST. SINGSON VILLAGE MANDAUE CITY,202-074-557,1,
(OLD)TWR MOTOR PARTS,724-0756/726-6081/88,,"# 187-4 N. DOMINGO ST., SAN JUAN MM.",,1,
GOODWILL COMMERCIAL INC. (VALENCIA GOODWILL COMMERICAL INC),088-222-3337,0955-2871313 ronie / 0916-197-1608 sheryl,"Sayre Highway, Valencia City, Bukidnon",005-205-856,1,
CATHERINE GAN,9228601961,,18 Ruby st. cor Emerald st. RGA village  brgy Gov. ponciano bangoy Davao city,,1,
NEW NISMAN COMMERCIAL CORP.,245-8599,"ELLA, JR","1042 G. Masangkay St., Binondo, Manila",,1,
JHAM AUTO PARTS,9328758399,,DUMAGUETE CITY,,1,
AKYIT AUTO PARTS,,,ILOILO CITY,,1,
ZAP AUTO PARTS,9228700454,SOUTHSEA,BACOLOD CITY,,1,
MYCARR MOTOR PARTS,,,PASAY CITY,,1,
SISON PUA,,,"531 Asuncion St.,  Binondo Manila",,1,
MIYACO AUTO SUPPLY INC,082-221-3961/62,ESTER SARUSA,98 LM GURERRO ST. DAVAO CITY,003-053-349,1,
OLD-KJE AUTO PARTS - C,,SEASTAR,"DELGADO ST., ILOILO CITY",,1,
MR.OLIVER LUCAS,,,DAVAO CITY,,1,
SAFARI LAND,,,MANILA,,1,
GEMINI PARTS CENTER (MANDAUE),,,"SA BLDG., PLARIDEL ST., MANDAUE CITY",,1,
JDK SPARE PARTS,0932-8439928,,DIPOLOG CITY,,1,
JESONS AUTO SUPPLY,062-993-1359,,"GOV. LIM AVE., ZAMBOANGA CITY",,1,
GENSAN ULTIMATE A/S & HDWE  INC.,0922-8384484,,"SANTIAGO BLVD., GENERAL SANTOS CITY",,1,
MALEX AUTO SUPPLY,9228855830,RIZAL JORDAN,GUIMARAS(ILOILO CITY),,1,
SOUTHWORLD ENT.,822-1096,SEASTAR,GEN. SANTOS CITY,,1,
NEW JAPAKOR CAR ACCESORIES,9233210566 /(034)707-7045,MAM TESS ,2359 CL MONTELIBANO AVE. BACOLOD CITY  ,415-136-817,1,
(OLD)CRISOTO TAN ,9177079882,SEASTAR,19A JASMIN ST. CARMEN CAGAYAN DE ORO CITY,,1,
(OLD)ZAMBOANGA MOTOR PARTS-C (OLD),9177079882,PAMBATO,PAGADIAN CITY,,1,
JLM AUTO PARTS,,SEASTAR,PANABO CITY,,1,
M-DAVAO TUSCAN PARTS,084-823-4136 /09109309118,EN-EN 938-094-366-000/EMERLYN_VILLAESTER@YAHOO.COM,PANABO CITY,,1,
PANTHER ASIA CORP.,"831-831,525-513",,1972 TAFT AVE.PASAY CITY,,1,
HI-12 APP. CENTER,0917-716-20-84,,ILIGAN CITY,,1,
L.I.R AUTO PARTS,,,TARLAC CITY,,1,
(OLD)A.Y BUTUAN AUTO SUPPLY,9177079882,MATATAG,BUTUAN CITY,,1,
LAURENCE AUTO PARTS,09428003119,,RIZAL AVE. OZAMIZ CITY,,1,
UNITRUST ELECTRONICS,9206659066,JADE CARGO,OZAMIZ CITY,,1,
JIK AUTO SPARE PARTS,908-2530,,QUEZON AVE. DIPOLOG CITY,,1,
DAVAO SKY MKTG.,822263374,,VILLAMOR ST. DACUDAO DAVAO CITY,,1,
GILBERT CASTILLO,,,"BALANGA.,,BATAAN CITY",,1,
JESS SIONG,,,777 ST.MANDARIN SQUARE BINONDO MLA.,,1,
A.Y MARKETING,475-94-18,,710 RISING SUN VILL.ANDREW ST. BAESA Q.C,,1,
JARVIS AUTO PARTS (OLD),,,VALENCIA CITY,,1,
DANNY  FERNANDEZ / KURT'S AUTO SUPPLY,,,"BALANGA ., BATAAN CITY",,1,
CENTER LINK PARTS,0932259160,,CHAMPACA COR.RAMBUTAN ST. GENSANTOS CITY,,1,
MANDAUE TRUST MKTG. A/S & CORP,9228299400,JERLYN,LOPEZ JAENA ST. SUBANGDAKU MANDAUE CITY,431-783-481,1,
(OLD)GEAR UP AUTO PARTS/ ACCESORIES,9264133966,,ALBERT MARROW ST. KORONADAL CITY,,1,
BRIXTON MOTOR PARTS,9257090684,,BACOLOD CITY,,1,
A-HAM,,,,,1,
APOLLO AUTO SUPPLY,9778172224,TOP ONE LOGISTIC,ILOILO CITY,,1,
KALINGA HARDWARE & AUTOSUPPLY,9269229304,,DAGUPAN WEST TABUK CITY KALINGA,,1,
CARLITOS AUTO SUPPLY,09228641800,,"DAGUPAN POBLACION TABUK,KALINGA",,1,
JOGILS AUTO SUPPLY,9399162317,,NATIONAL HIGHWAY SOLANO NUEVA VIZCAYA,,1,
JRT AUTO SUPPLY,9261290053,,"ALIBAGU ILAGAN CITY, ISABELA",,1,
MMM EMISSION TESTING/ EARLWOOD TAN,,,TAYUMAN COR. ALMEDA ST.,,1,
JR GAISANO,,,2341 MAKOPA ST. DASMARIÑAS VILL.MAKATI,,1,
AKAYA,,,STA.CRUZ MANILA,,1,
ALBEA AUTO PARTS,,SEASTAR,DAVAO CITY,,1,
GOLD MARK ( ILOILO ) PARTS CENTER,,,ILOILO CITY,,1,
OPAL AUTO PARTS-C  CLOSE NA ,9424082721,ORO FRONTIER,CAGAYAN DE ORO CITY,,1,
HAI ENTERPRISES/ HOLD ACCOUNT,(075) 566-7042,,# 7 CABALLERO ST.POZZORUBIO PANGASINAN,,1,
SUNHUAT AUTOMOTIVE INT. PARTS CORP,,,PARAÑAQUE CITY,,1,
JAMN AUTO SUPPLY,9494048786,PINES TRUCKING,"KIAS., BAGUIO CITY",,1,
5 SISTER HARDWARE & GEN. MERCHANDISE,,CALICA TRUCKING,# 4 MAGSAYSAY LOAKAN BAGUIO CITY,,1,
MMA AUTO PARTS,9327796159,BOSS MARK OWNER,PAG-ASA VILLAGE BRGY. MABUHAY RD. GENERAL SANTOS CITY,,1,
BRITTE SEE BRYANT MILLING CARANGAN,09234097817,,OZAMIZ CITY,,1,
CJJ AUTO SUPPLY,09168992929,,MAGSAYSAY TABUK CITY,,1,
KUYA GIL ACCESORIES,9182471136,PINES,"#10 PUROK SAJO,LOAKAN PROPER BAGUIO CITY",,1,
DORIASHIELD AUTO GLASS ACCESORIES,9086383588,PINES,CAMP 8 BAGUIO CITY,,1,
ORO J AUTO PART ,9424082721,SEASTAR ,PADILLA ST. SILAY CITY NEGROS OCCIDENTAL,,1,
ZCENTE AUTOPARTS,,HILTOR/SEASTAR,ILO ILO CITY,,1,
JARVIS AUTO SUPPLY,9258778189,SEASTAR/BOYET,SAYRE HIGHWAY POBLACION VALENCIA CITY,,1,
RPM AUTO SUPPLY,9178719836,KING HARRY,CANDON ILOCOS SUR,,1,
AMEGA AUTO SUPPLY,9297938559,S & V TRUCKING,CANDON ILOCOS SUR,,1,
FLR AUTO SUPPLY,0919-5666519,,"BATAC, ILOCOS NORTE",,1,
MALVAROZA ENTERPRISES,032-4952393,SSTAR 50%,OPON LAPU LAPU CITY,,1,
MARK YANG,9176274289,,"BBQ king grill   D 14 hi strip one circumferential road, Brgy villamonte   Bacolod city",,1,
SUPER K MARKETING,9228700454,SEASTAR,GEMPESAW ST. DAVAO CITY,,1,
GRAND CITY,579-2675,J.LIM TRUCKING,"SAN FERNANDO CITY., LA UNION",,1,
WIN WEL AUTO SUPPLY,,PINES TRUCKING,AE 201 WEST BUYAGAN LA TRINIDAD BENGUET,,1,
GANA AUTO SUPPLY,253-5308,,"CABA., LA UNION",,1,
NIQ AUTO SUPPLY,,,KM 6 LA TRINIDAD BENGUET,,1,
RALK/PICOLANDIA AUTO SUPPLY,,,PICO LA TRINIDAD BENGUET,,1,
LEA AUTO SUPPLY,888-3376,,TAGUDIN ILOCOS SUR 09213486168,,1,
RPM AUTO SUPPLY,9175994519,KING HARRY,"BANTAY ., ILOCOS SUR",,1,
ERIC F. SIAO,9164097974,,176  BRGY MAHAYAHAY ILIGAN CITY,,1,
JR PADLAN AUTO PARTS,,,DACERA  AVE.MABUHAY ROAD GEN.SANTOS CITY,,1,
MITSU CAR,,,NAGUILLIAN RD. BAGUIO CITY,,1,
FAITH A/S,,,#87 NAGUILLIAN RD. BAGUIO CITY,,1,
GM AUTO PARTS,09298722275/09258791528,JOEL Q. RUALES,QUIRANTE 1 ST.TAGUM CITY DAVAO DEL NORTE,,1,
TITANS AUTO PARTS,9217604141,,"TETAN,ZAMBOANGA CITY",,1,
FERNANDO RABANES ,0917-625-3360,,7A MAYON ST. SINGSON VILLAGE CEBU CITY,,1,
REDSCREW  RESTORATION ROSAM DAILY EXPRESS,,,NAGA CITY,,1,
DELITE COMMERCIAL,,,DUMAGUETE CITY,,1,
(OLD)DYTEBAN HARDWARE & AUTO SUPPLY,(085) 341 5255,,"E. LUNA & LOPEZ JAENA ST., BUTUAN CITY",,1,
AUTO PLUS,,,BOKAWKAN RD. BAGUIO CITY,,1,
PIPOY AUTO SUPPLY,0946-929-4983,LUJG,ROSARIO LA UNION,,1,
OLYMPIA AUTO SUPPLY,9215564265,MANILA OFFICE (ARANETA AVE.) MALAPIT KAY CELICA,GONZAGA ST. BACOLOD CITY,,1,
Unknown,,,,,1,
XXXXXXXXXXWEST COST MULTIPARTS C/O KING MULTIPARTS XXXXXXXXXXXXXXX,,SEASTAR,MANDAUE CITY,,1,
MR.WILSON YEUNG,,,DAVAO CITY,,1,
ASHLEY AUTO SUPPLY,,SEASTAR,DIGOS CITY,,1,
LUBCO MARKETING COMPANY,552-4502,,#42 PIONEER AVENUE GEN. SANTOS CITY,,1,
EDISON TAN,,,,,1,
NIPPON EXPRESS,,,,,1,
KIM SY,,,,,1,
ANTONY-CHARLES KENT AUTO PARTS,282-4422 / 285-0672 / 09188987898,SEASTAR,DOOR 1 & 2 YT BLDG. GEMPESAW ST DAVAO,,1,
PERSONAL CARS,,,,,1,
DAK AUTO SUPPLY,,,BACOLOD CITY,,1,
JOCRIS MOTOR PARTS,,,"KABANKALAN CITY, NEGROS OCC.",,1,
MOTIVE TRADE CENTER,0917-8088888,,ALBANO ST. SUBANGDAKU MANDAUE CITY CEBU,,1,
RFQ AUTO REPAIR SHOP,364-5555/352-55,DIWATA,"FERGUSON ROAD, BAGUIO CITY",,1,
MONG AUTO SUPPLY,,PINES,"CAMP DANGWA, LA TRINIDAD BENGUET",,1,
SERVICE CENTER,,,,,1,
TRIPLE R REPAIR SHOP,,,CAMPO SIOCO BAGUIO CITY,,1,
MJT AUTO SUPLLY,9185814286,PINES TRUCKING,CAMP 7 BAGUIO CITY,,1,
COACH ERIC GONZALES,,,,,1,
MP VERACRUZ AUTO PARTS SHOP,(082)295-3085,SEASTAR,"Carman Building, Sta Ana Avenue Brgy 27-C Poblacion District  Davao City,",,1,
MNM,7135268,,G. ARANETA AVE QC,,1,
COACH BERNARD DE GUIA,,,,,1,
ORLY REASONDA,,,,,1,
XKC-181,,,,,1,
MRS. ROSE,,,,,1,
DIWATA,,,185DIWATA SHAWCOR.ADEJESUS STCALOOCANCTY,,1,
BENEDICT ONG,,,,,1,
MT. SINAI AUTO SUPLY,,PINES,PUGUIS LA TRINIDAD BENGUET,,1,
SHOBE AUTO SUPPLY,9328855722,SEASTAR,"DIGOS CITY..., DAVAO ",,1,
MR. MANUEL LIM,,,,,1,
AUG AUTO PART SUPPLY-C,0 +63 (033) 330 4049,SEASTAR ,VALERIA EXT ILOILO CITY,,1,
LP TIREX MARKETING,09175610817,,ILIGAN ISABELA,,1,
xxxxxxxRTEC TRUCKS & HEAVY EQUIPMENT xxxxxxx,227-9926,,STA ANA DAVAO CITY,,1,
MICHAEL JORGE L. TONG,,,J.P LAUREL AVE BAJADA DAVAO,,1,
WATER WAY/JOAN CHONG,,,,,1,
EDWARD GAN,9177005532,SEASTAR,DAVAO CITY,,1,
RICKY DELMONTE,9672697324,,"TIMOTHY ST., MULTINATIONAL VILL PQUE CITY",,1,
BENSON GAN,,,,,1,
VARIOUS ONLINE SHOPEE,,,,,1,
CABANGCA & SONS,,,CAGAYAN DE ORO,,1,
GETTEX ENT.,9257090684,ORO FRONTIER,VALENCIA CITY,,1,
COOL LAST AUTO SUPLLY,,(FORMERLY GOLDEN MOTORS PARTS ) ,DAVAO CITY,,1,
(old)AUTO VISION SUPER PART,9257090684,,BACOLOD CITY,,1,
MR. ARLAN GUINTO,,,,,1,
CANCELLED ,,,,,1,
CARS GENERAL MERCHANDISE,,SEASTAR,NEGROS OCCIDENTAL,,1,
FOUR-C AUTO SUPPLY,,,"SAN ROQUE, ZAMBOANGA CITY",,1,
MS. EVELYN DE MESA,,,,,1,
EDDIE LAURE,,,,,1,
PAJERO - BLUE,,,,,1,
PAJERO - RED WYU-888,,,,,1,
LANDCRUISER - RENSON,,1hd-0186446 2000 model diesel,chasi#jt711tja10-09003260,,1,
LANDCRUISER - UKR555,,,,,1,
RAV 4,,,chassi # jpehh20v40017473   1az revo 2002 gas,,1,
PAJERO - WHITE,,,,,1,
PICK UP,,,,,1,
ACCESS MOTOR PARTS / ALBERT CO,9178252378,,# 21 CADIG ST. BRGY SAN ISIDRO LABRADOR LALOMA QUEZON CITY,,1,
RYAN MONTE CLARO,,,,,1,
MR KERWIN CUE,,,,,1,
RICHARD PADILLA,,,,,1,
PACIFIC TRADERS,,,PAGADIAN CITY,,1,
GORDIEL AUTO PARTS-C,088-856-1536,ORO FRONTIER,124 DON SERGIO OSMEÑA CAGAYAN DE ORO,,1,
XXXX C-ACRIBIL CORPORATION ( FORMER TRUCKERS PARTS SUPPLY ),08822-725-463,ORO FRONTIER,"DON SERGIO OSMENA ST.,CAG. DE ORO CITY",,1,
TFR/KSY-333 PICK-UP,,,,,1,
ZPP-759 COROLLA ALTIS,,,,,1,
MR. LUIS ANG,,,,,1,
MR. EDISON GAN,,,,,1,
MR. FERNANDO TORRE,,,,,1,
 MR. NEXON NG C/O ARRON COO,,,,,1,
SHERMAN,,,,,1,
LUCKY STAR SURPLUS,,,VALERIA ST. ILOILO CITY,,1,
KIETH SURPLUS CENTER,9177937070,CARL / seastar,"IGPIT , OPOL CAGAYAN DE ORO",,1,
GRANDIS/POM 905 ,,,,,1,
MR.SIMION YU,,,,,1,
LAM ST. STEPHEN,,,125 SCT D. LASCANO ST. THOMAS MORATO QC.,,1,
PAPERICH,241-0616,MISS.KATRINA,,,1,
MR. BOBBY CONCE,,,,,1,
DAVAO ABC AUTO SUPPLY,082-227 5861 luis,299-2327,J Dela Cruz Davao City Davao,,1,
MRS. EVELYN DE MESA,,,,,1,
PULL-OUT ,,,,,1,
XXXXROADSTAR AUTO SUPPLY -CXXXX,088-856-3875,seastar,OSMENA ST. CAGAYAN DE ORO CITY,,1,
ILOILO AUTO SUPPLY (MANILA),,,MANILA,,1,
AUTOWORX SERVICE CENTER,822-1096,JOHANZ TAN,NATIONAL HIGHWAY GEN. SANTOS CITY,,1,
Unknown,,,,,1,
ISUZU ELF ( TRUCK ) / UPL 562,,,,,1,
ALTERNATOR USE,,,,,1,
SYM / RED,,,,,1,
BESTAT AUTOPHIL / YAMATA,,,"115G ROXAS ST., QUEZON CITY",,1,
JD ICETECH ENT. ( Jerilyn Yap Luy),9177160168,DAVID,Door #3 GL bldg.  Buenavista st.  Brgy. Sto. Niño  Zamboanga city,,1,
MR. JEROME LAU,,,,,1,
MR. MENDOZA,,,,,1,
